external_id,title,description,category,state,eligibility,benefits,benefit_type,status,ministry,max_benefit,application_deadline,website_url
seed-pm-kisan-income-andhra-pradesh,PM-Kisan Income Support - Andhra Pradesh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Andhra Pradesh and keeps the same frontend-ready structure expected by the app.,Agriculture,Andhra Pradesh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/andhra-pradesh
seed-pm-kisan-income-arunachal-pradesh,PM-Kisan Income Support - Arunachal Pradesh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Arunachal Pradesh and keeps the same frontend-ready structure expected by the app.,Agriculture,Arunachal Pradesh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/arunachal-pradesh
seed-pm-kisan-income-assam,PM-Kisan Income Support - Assam,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Assam and keeps the same frontend-ready structure expected by the app.,Agriculture,Assam,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/assam
seed-pm-kisan-income-bihar,PM-Kisan Income Support - Bihar,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Bihar and keeps the same frontend-ready structure expected by the app.,Agriculture,Bihar,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/bihar
seed-pm-kisan-income-chhattisgarh,PM-Kisan Income Support - Chhattisgarh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Chhattisgarh and keeps the same frontend-ready structure expected by the app.,Agriculture,Chhattisgarh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/chhattisgarh
seed-pm-kisan-income-goa,PM-Kisan Income Support - Goa,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Goa and keeps the same frontend-ready structure expected by the app.,Agriculture,Goa,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/goa
seed-pm-kisan-income-gujarat,PM-Kisan Income Support - Gujarat,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Gujarat and keeps the same frontend-ready structure expected by the app.,Agriculture,Gujarat,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/gujarat
seed-pm-kisan-income-haryana,PM-Kisan Income Support - Haryana,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Haryana and keeps the same frontend-ready structure expected by the app.,Agriculture,Haryana,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/haryana
seed-pm-kisan-income-himachal-pradesh,PM-Kisan Income Support - Himachal Pradesh,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Himachal Pradesh and keeps the same frontend-ready structure expected by the app.,Agriculture,Himachal Pradesh,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/himachal-pradesh
seed-pm-kisan-income-jharkhand,PM-Kisan Income Support - Jharkhand,Direct income support for eligible farmer families to help meet seasonal agricultural and household expenses. This record is tailored for applicants in Jharkhand and keeps the same frontend-ready structure expected by the app.,Agriculture,Jharkhand,Small and marginal farmer families with valid land records and Aadhaar-linked bank accounts.,"{""Income support installment"",""DBT transfer"",""Seasonal cash flow assistance""}",Direct Cash,active,Ministry of Agriculture and Farmers Welfare,"Rs. 6,000 per year",Open throughout the year,https://www.india.gov.in/pm-kisan-income-support/jharkhand
